Model,Accuracy,Precision,Recall,F1 Score
Neural Network,0.9754846066134549,0.9636913767019667,0.9710365853658537,0.9673500379650721
Logistic Regression,0.9717787913340935,0.9676175790285274,0.9565548780487805,0.9620544269835186
Random Forest,0.9683580387685291,0.9545798637395913,0.9611280487804879,0.9578427649069502
Naive Bayes,0.9618015963511972,0.9523809523809523,0.9451219512195121,0.9487375669472073
